prefix,namespace,definedby
rdfs,http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/TR/2004/REC-rdf-mt-20040210/
vcard,http://www.w3.org/2006/vcard/ns#,http://www.w3.org/Submission/2010/SUBM-vcard-rdf-20100120/
ical,http://www.w3.org/2002/12/cal/icaltzd#,http://www.w3.org/2002/12/cal/icaltzd#
rdfa,http://www.w3.org/ns/rdfa#,http://www.w3.org/TR/rdfa-core/
grddl,http://www.w3.org/2003/g/data-view#,http://www.w3.org/TR/2007/REC-grddl-20070911/
qb,http://purl.org/linked-data/cube#,http://www.w3.org/TR/vocab-data-cube/
wdrs,http://www.w3.org/2007/05/powder-s#,http://www.w3.org/TR/2009/REC-powder-formal-20090901/
cc,http://creativecommons.org/ns#,http://www.w3.org/Submission/2008/SUBM-ccREL-20080501/
dc11,http://purl.org/dc/elements/1.1/,http://purl.org/dc/elements/1.1/
rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/TR/2004/REC-rdf-mt-20040210/
xml,http://www.w3.org/XML/1998/namespace,http://www.w3.org/TR/REC-xml-names/
gr,http://purl.org/goodrelations/v1#,http://www.heppnetz.de/ontologies/goodrelations/v1
og,http://ogp.me/ns#,http://ogp.me/
rr,http://www.w3.org/ns/r2rml#,http://www.w3.org/TR/2012/REC-r2rml-20120927/
ma,http://www.w3.org/ns/ma-ont#,http://www.w3.org/TR/2012/REC-mediaont-10-20120209/
v,http://rdf.data-vocabulary.org/#,http://www.google.com/support/webmasters/bin/answer.py?answer=99170
owl,http://www.w3.org/2002/07/owl#,http://www.w3.org/TR/2009/REC-owl2-overview-20091027/
foaf,http://xmlns.com/foaf/0.1/,http://xmlns.com/foaf/spec/
rif,http://www.w3.org/2007/rif#,http://www.w3.org/TR/2010/NOTE-rif-overview-20100622/
sd,http://www.w3.org/ns/sparql-service-description#,http://www.w3.org/TR/sparql11-service-description/
schema,http://schema.org/,http://schema.org/docs/full.html
org,http://www.w3.org/ns/org#,http://www.w3.org/TR/vocab-org/
skosxl,http://www.w3.org/2008/05/skos-xl#,http://www.w3.org/TR/2009/REC-skos-reference-20090818/
xsd,http://www.w3.org/2001/XMLSchema#,http://www.w3.org/TR/xmlschema-2/
dc,http://purl.org/dc/terms/,http://dublincore.org/documents/dcmi-terms/#H2
sioc,http://rdfs.org/sioc/ns#,http://www.w3.org/Submission/2007/SUBM-sioc-spec-20070612/
prov,http://www.w3.org/ns/prov#,http://www.w3.org/TR/prov-o/
skos,http://www.w3.org/2004/02/skos/core#,http://www.w3.org/TR/2009/REC-skos-reference-20090818/
dcat,http://www.w3.org/ns/dcat#,http://www.w3.org/TR/vocab-dcat/
rev,http://purl.org/stuff/rev#,http://vocab.org/review/terms.html
wdr,http://www.w3.org/2007/05/powder#,http://www.w3.org/TR/2009/REC-powder-formal-20090901/
void,http://rdfs.org/ns/void#,http://www.w3.org/TR/void/
ctag,http://commontag.org/ns#,http://commontag.org/Specification
xhv,http://www.w3.org/1999/xhtml/vocab#,http://www.w3.org/TR/rdfa-core/
yago,http://yago-knowledge.org/resource/,http://resources.mpi-inf.mpg.de/yago-naga/yago/download/yago/converters.txt
dbo,http://dbpedia.org/ontology/,http://mappings.dbpedia.org/index.php/How_to_edit_the_DBpedia_Ontology
dbp,http://dbpedia.org/property/,http://mappings.dbpedia.org/index.php/How_to_edit_the_DBpedia_Ontology
vann,http://purl.org/vocab/vann/,http://vocab.org/vann/.html
pos,http://www.w3.org/2003/01/geo/wgs84_pos#,http://www.w3.org/2003/01/geo/wgs84_pos	
time,http://www.w3.org/2006/time#,http://www.w3.org/2006/time
bibo,http://purl.org/ontology/bibo/,http://purl.org/ontology/bibo/	
vs,http://www.w3.org/2003/06/sw-vocab-status/ns#,http://www.w3.org/2003/06/sw-vocab-status/ns	
doap,http://usefulinc.com/ns/doap#,http://usefulinc.com/ns/doap
dctype,http://purl.org/dc/dcmitype/,http://dublincore.org/documents/2012/06/14/dcmi-terms/
gn,http://www.geonames.org/ontology#,http://www.geonames.org/ontology/documentation.html	
frbr,http://purl.org/vocab/frbr/core#,http://purl.org/vocab/frbr/core	
adms,http://www.w3.org/ns/adms#,http://www.w3.org/ns/adms
event,http://purl.org/NET/c4dm/event.owl#,http://purl.org/NET/c4dm/event.owl	
rel,http://purl.org/vocab/relationship/,http://vocab.org/relationship/.html
